Variável,Dado
Introdução," Para estudar quanticamente sistemas moleculares estáveis e não-estáveis, inicialmente recorre-se a Aproximação de Born- Oppenheimer (ABO), que separa a equação de Schrödinger molecular em uma equação eletrônica e outra nuclear. A solução da parte eletrônica fornece, entre outros, a energia potencial para cada configuração nuclear, que influenciará no movimento dos núcleos, tornando-a assim a responsável direta pela dinâmica molecular. No entanto, a solução da equação de Schrödinger nuclear, responsável pela dinâmica molecular, só pode ser obtida se conhecermos primeiramente a solução da equação de Schrödinger eletrônica para várias configurações nucleares. Estas soluções devem ser ajustadas para uma forma analítica que entra na hamiltoniana nuclear como curva ou superfície de energia potencial. Desta forma, torna-se de fundamental importância determinar a forma funcional que descreve a energia eletrônica de um sistema molecular."
Metodologia," Serão testadas e propostas novas formas analíticas para ajustar energias eletrônicas de vários sistemas diatômicos. Inicialmente, testaremos formas analíticas do tipo Rydberg Generalizada (RYD). Em seguida, serão propostas outras formas analíticas baseadas na solução do íon molecular H2+. Tais ajustes serão realizados usando o método de Powel. Estes ajustes serão testados determinando as energias ro- vibracionais, das várias moléculas que serão estudadas, sistema resolvendo a equação de Schrödinger nuclear. Existem na literatura vários métodos para resolver esta equação. Neste trabalho será utilizado o método da representação da variável discreta DVR."
Resultados," Houve a familiarização com o método de Powel e desenvolvimentos de programas auxiliares (em FORTRAN) para ajustes de curvas de energias potenciais usando formas analíticas do tipo Rydberg Generalizada. As curvas de energia potencial da molécula diatômica ionizada H_2^+ foram ajustadas para vários graus da função de Rydberg Generalizada. Com isso obtivemos que as funções que melhor ajustaram as curvas foram de graus 4 e 5. Depois, via método de Dunham, foram obtidas as constantes rovibracionais da molécula H_2^+ e comparados os valores com os dados experimentais. A função Rydberg de grau 4 foi a que forneceu o resultado mais satisfatório para as constantes rovibracionais. Posteriormente o método de Representação da Variável Discreta (DVR) foi apresentado para a resolução da equação de Schrödinger nuclear e obtenção do espectro rovibracional de H_2^+. As constantes espectroscópicas rovibracionais calculadas via método DVR ficaram consideravelmente mais próximas dos dados experimentais"
Conclusão," Houve a familiarização com o método de Powel e desenvolvimentos de programas auxiliares (em FORTRAN) para ajustes de curvas de energias potenciais usando formas analíticas do tipo Rydberg Generalizada. As curvas de energia potencial da molécula diatômica ionizada H_2^+ foram ajustadas para vários graus da função de Rydberg Generalizada. Com isso obtivemos que as funções que melhor ajustaram as curvas foram de graus 4 e 5. Depois, via método de Dunham, foram obtidas as constantes rovibracionais da molécula H_2^+ e comparados os valores com os dados experimentais. A função Rydberg de grau 4 foi a que forneceu o resultado mais satisfatório para as constantes rovibracionais. Posteriormente o método de Representação da Variável Discreta (DVR) foi apresentado para a resolução da equação de Schrödinger nuclear e obtenção do espectro rovibracional de H_2^+. As constantes espectroscópicas rovibracionais calculadas via método DVR ficaram consideravelmente mais próximas dos dados experimentais"
Palavras-Chave, Rydberd DVR constantes-rovibracionas ajuste-analítico-de-curvas 
Colaboradores, Jéssica Silvano Martins
O consumo de produtos de luxo na sociedade contemporânea,TituloTrabalho
Bolsista, Jéssica Vasconcelos
Unidade Acadêmica, Antropologia 
Instituição, UnB
Orientador (a), ANDRÉA DE SOUZA LOBO
Introdução," O consumo, muitas vezes considerado algo supérfluo e fútil, é um grande comunicador da sociedade. A escolha de determinado bem comunica e estabelece relações. Ao consumir um bem, uma mensagem sempre é transmitida, seja ela explícita ou implícita. O presente artigo objetiva identificar e compreender os motivos do consumo de artigos de luxo. Dentro do universo de produtos de luxo, foi selecionado o consumo de bolsas da marca Louis Vuitton. A partir desse recorte e das contribuições de vários autores que discutem esta temática, especialmente Mary Douglas e Baron Isherwood, Pierre Bourdieu, Arjun Appadurai, Daniel Miller e Jean Baudrillard, apresenta-se um panorama do consumo do luxo, evidenciando a idéia de que o luxo seria um indicador de diferencial de classes que apontaria conflitos, choques culturais e sociais. Os produtos de luxo seriam capazes de categorizar grupos sociais, revelando a posição social do consumidor."
Metodologia," O projeto de pesquisa foi executado combinando a pesquisa bibliográfica com o trabalho de campo, através da realização de entrevistas, observação e diário de campo. O trabalho de campo se fez necessário para conhecer e selecionar as variáveis que influenciam o consumo de produtos de luxo. A observação e a realização de entrevistas permitiram o conhecimento do comportamento e opiniões dos consumidores, além da comparação com a pesquisa bibliográfica. Inicialmente os consumidores foram observados. Após a observação, foram realizadas entrevistas com vendedores das lojas, para conhecer o ambiente freqüentado pelos consumidores e perceber a visão dos vendedores em relação aos clientes. Foram feitas também, entrevistas com consumidores das grandes marcas e pessoas contrárias ao consumo de luxo, objetivando a análise dos significados da marca na sociedade. A pesquisa foi qualitativa, visando identificar os fatores que determinam ou contribuem para a ocorrência dos fenômenos do consumo."
Resultados," A presente pesquisa possibilitou identificar alguns dos motivos da compra de um produto de luxo, pontuar algumas intenções dos consumidores ao comprar uma bolsa Louis Vuitton, explorar como os hábitos de consumo distinguem um indivíduo, explorar a influência do consumo no estabelecimento e manutenção de relações sociais."
Conclusão," A presente pesquisa possibilitou identificar alguns dos motivos da compra de um produto de luxo, pontuar algumas intenções dos consumidores ao comprar uma bolsa Louis Vuitton, explorar como os hábitos de consumo distinguem um indivíduo, explorar a influência do consumo no estabelecimento e manutenção de relações sociais."
Palavras-Chave," Consumo de Luxo, Luxo, Consumo, Louis Vuitton, Distinção "
Colaboradores, Equipe do projeto ProIC
Otimização via formalização e polinômios de Bernstein,TituloTrabalho
Bolsista, Jessyca Cristine Lima de Souza
Unidade Acadêmica, Matemática.
Instituição, UnB
Orientador (a), MAURICIO AYALA RINCON
Introdução," O artigo Formalization of Bernstein Polynomials and Application to Global Optimization trata da formalização em lógica de ordem superior da representação de polinômios de Bernstein multivariados. Usando essa representação, os autores desenvolveram uma especificação de um algoritmo para encontrar limites inferiores e superiores de valores mínimos e máximos de polinômios. Este algoritmo foi formalizado e sua correção verificada no Assistente de Demonstração Prototype Verification System (PVS). O algoritmo é utilizado na definição das estratégias de prova para a solução de problemas polinomiais de otimização global de maneira formal e automática. A grande novidade desta abordagem é permitir otimização via formalização. Por esse motivo é tão importante o estudo dos polinômios de Bernstein e o algoritmo gerado por ele neste contexto."
Metodologia," Optou-se por fazer um estudo aprofundado e detalhado do trabalho supracitado e para isto foi necessário aprender a manipular o Assistente de Demonstração PVS e estudar cálculos dedutivos da lógica computacional como uma primeira etapa do trabalho. Assim que essa etapa fosse concluída poderíamos analisar e entender a formalização dos Polinômios de Bernstein no Assistente de Demonstração PVS, compreendendo o algoritmo e abrindo espaço para formulação de possíveis contribuições para o mesmo."
Resultados," Até o presente momento conseguimos concluir a primeira etapa do trabalho compreendendo profundamente a matéria apresentada no artigo, aprendendo a manipular o Assistente de Demonstração PVS. Para o último, foram utilizados casos de estudo simples, como por exemplo formalizações de operadores algébricos como mdc (máximo divisor comum) elaborados por membros do Grupo de Teoria da Computação da UnB. Para estas formalizações, analisaram-se as técnicas de deduções aplicadas refazendo suas provas utilizando o sistema. Quanto ao estudo dos sistemas dedutivos, obtive-se conhecimentos básico de dedução natural na lógica de primeira ordem, mas ainda é preciso aprofundar em linguagens lógicas mais elaboradas, já que PVS utiliza uma linguagem de especificação de ordem superior e um cálculo dedutivo baseado em sistemas à La Gentzen. Após essa preparação prática e teórica, iniciou-se a análise da formalização dos Polinômios de Bernstein em PVS refazendo, também, suas demonstrações."
Conclusão," Até o presente momento conseguimos concluir a primeira etapa do trabalho compreendendo profundamente a matéria apresentada no artigo, aprendendo a manipular o Assistente de Demonstração PVS. Para o último, foram utilizados casos de estudo simples, como por exemplo formalizações de operadores algébricos como mdc (máximo divisor comum) elaborados por membros do Grupo de Teoria da Computação da UnB. Para estas formalizações, analisaram-se as técnicas de deduções aplicadas refazendo suas provas utilizando o sistema. Quanto ao estudo dos sistemas dedutivos, obtive-se conhecimentos básico de dedução natural na lógica de primeira ordem, mas ainda é preciso aprofundar em linguagens lógicas mais elaboradas, já que PVS utiliza uma linguagem de especificação de ordem superior e um cálculo dedutivo baseado em sistemas à La Gentzen. Após essa preparação prática e teórica, iniciou-se a análise da formalização dos Polinômios de Bernstein em PVS refazendo, também, suas demonstrações."
Palavras-Chave," Formalização, Polinômios de Bernstein, PVS, Assistente de Demonstração. "
Colaboradores,
As representações sociais acerca do processo saúde-doença dos representantes dos movimentos sociais,TituloTrabalho
Bolsista, Jessyca Reis e Silva
Unidade Acadêmica, Saúde Coletiva 
Instituição, UnB
Orientador (a), HELENA ERI SHIMIZU
Introdução," No Brasil, os movimentos sociais vêm modificando suas formas de estruturação e suas bandeiras de luta, que abarcam reivindicações necessárias à construção da saúde integral de seus(as) participantes. Constituem grupos heterogêneos quanto aos perfis sociodemográficos e se unem para defender mudanças na forma de atuação do Estado e da sociedade para que atendam suas necessidades, vislumbrando melhor qualidade de vida e exercício pleno de cidadania. No campo da saúde, a forma como os(as) participantes de movimentos sociais percebem o processo saúde-doença pode influenciar diretamente suas práticas. Investigar as representações sociais dos(as) participantes de movimentos sociais sobre esse processo pode permitir a identificação dos conhecimentos socialmente partilhados acerca do fenômeno. Ademais, o conhecimento das representações sociais torna-se fundamental para a construção de atenção à saúde de qualidade, que atenda às necessidades dos diferentes segmentos sociais."
Metodologia," Trata-se de um estudo baseado na Teoria das Representações Sociais elaborada por Serge Moscovici, mais especificamente da abordagem estrutural desenvolvida por Abric. Participaram 66 integrantes de 26 movimentos sociais identificados(as) no Distrito Federal. Utilizou-se questionário semi-estruturado contendo a questão o que vem a sua mente sobre saúde e o que vem a sua mente sobre doença. Os dados foram processados pelo software EVOC. A pesquisa foi aprovada pela SES DF e os sujeitos assinaram termo de consentimento livre e esclarecido."
Resultados," Quanto ao perfil dos(as) integrantes, nota-se o predomínio de participantes do sexo masculino (68,2%), em faixa etária de 17 a 29 anos (37,9%), com grau de escolaridade de nível médio ou acima (75,8%) e renda salarial acima de 3 salários mínimos (51,5%). Sobre o acesso aos serviços de saúde, a maioria não possui plano de saúde (70%) e usa o SUS (71,21%). Quanto às características de militância nos movimentos, a maior parte dos(as) integrantes participa há um período de 6 a 10 anos, sendo que a menor parte são coordenadores(as) (37,88%). No que se refere à estrutura das representações sociais, para saúde o termo qualidade de vida aparece como pertencendo ao núcleo central, e, dentre outros, bem estar, alimentação e saúde pública como fazendo parte do sistema periférico, para doença, o núcleo central encontrado foi sofrimento, e o sistema periférico seria, dentre outros, dor, alimentação e morte."
Conclusão," Quanto ao perfil dos(as) integrantes, nota-se o predomínio de participantes do sexo masculino (68,2%), em faixa etária de 17 a 29 anos (37,9%), com grau de escolaridade de nível médio ou acima (75,8%) e renda salarial acima de 3 salários mínimos (51,5%). Sobre o acesso aos serviços de saúde, a maioria não possui plano de saúde (70%) e usa o SUS (71,21%). Quanto às características de militância nos movimentos, a maior parte dos(as) integrantes participa há um período de 6 a 10 anos, sendo que a menor parte são coordenadores(as) (37,88%). No que se refere à estrutura das representações sociais, para saúde o termo qualidade de vida aparece como pertencendo ao núcleo central, e, dentre outros, bem estar, alimentação e saúde pública como fazendo parte do sistema periférico, para doença, o núcleo central encontrado foi sofrimento, e o sistema periférico seria, dentre outros, dor, alimentação e morte."
Palavras-Chave," Representações sociais, movimentos sociais, processo saúde-doença."
Colaboradores," Adelyany Batista dos Santos, Denise Osório Severo, Luciana Melo de Moura, e Romulo José Batista Alves."
O Brasil pelo olhar do outro, Representações e Identidades de estrangeiros sobre os brasileiros de hoje nos livros didáticos
Bolsista, Jhessyka de Bessa Cotrim
Unidade Acadêmica," Lingüística, Português, Línguas Clássicas "
Instituição, UnB
Orientador (a), KLEBER APARECIDO DA SILVA
Introdução,
Metodologia,
Resultados,
Conclusão,
Palavras-Chave,
Colaboradores,
PRINCIPAIS LESÕES OBSERVADAS EM CARCAÇAS DE BOVINOS ORIUNDOS DE ABATEDOUROS FRIGORÍFICOS LOCALIZADOS NO DISTRITO FEDERAL E GOIÁS,TituloTrabalho
Bolsista, Joana Marchesini Palma
Unidade Acadêmica, Agronomia e Medicina Veterinária 
Instituição, UnB
Orientador (a), ANGELA PATRICIA SANTANA
Introdução," Segundo a associação Brasileira das Indústrias Exportadoras de Carnes. Pecuária Brasileira(ABIEC), o Brasil tem o maior rebanho comercial do mundo, com 209 milhões de bovinos, sendo considerado o segundo maior produtor de carne bovina. A inspeção sanitária de carnes, realizada em estabelecimentos abatedouros desempenham atividades preventivas para a saúde pública, pois afastam do mercado consumidor carnes impróprias para o consumo(SANTOS, 1993). Este serviço é realizado por profissionais que, permanentemente realizam a inspeção junto aos matadouros e frigoríficos dos animais destinados ao abate (RODRIGUES, 1993). Considerando a importância de a higiene alimentar no que se refere à ingestão de carne bovina sem riscos à saúde humana, ainda às poucas informações sobre as lesões encontradas em frigoríficos que poderiam levar a condenação no Distrito Federal e no estado de Goiás, o presente trabalho tem por objetivo acompanhar o abate de bovinos sob inspeção e documentar as principais lesõe"
Metodologia," A pesquisa foi realizada a partir do acompanhamento das atividades da Inspeção Federal e Distrital (DIPOVA) junto às linhas de inspeção em quatro diferentes frigoríficos de bovinos, durante o período de três meses (março a maio) no ano de 2012, onde o primeiro estava localizado no Distrito Federal e os outros 3 frigoríficos no Estado de Goiás. Os frigoríficos foram visitados com uma frequência de 2 a 3 vezes por semana. Neste período foram abatidos um total 4012 bovinos, machos e fêmeas,. Sendo 3419 animais no Estado do Goiás e 593 animais no Distrito Federal. Os animais foram encaminhados ao abate segundo as normas de abate sanitário, e inspecionados de acordo com o Regulamento de Inspeção Industrial e Sanitária de Produtos de Origem Animal (BRASIL, 1997). As lesões observadas pelos auxiliares de inspeção foram anotadas em planilhas, separando por região, para posterior cálculo das frequências de condenações das vísceras."
Resultados," Os principais órgãos condenados observados nas duas regiões foram por ordem decrescente: o rim responsável por 35,36%, seguida pelo pulmão com 28,00%, fígado (10,91%), cabeça (15,28%), coração (4,29%) e cauda com 1,35% ..Dentro das condenações do rim, as lesões que mais ocorreram foram nefrite (34,04%), Isquemia (20,85%), congestão venosa (20,21%), cisto urinário (16,17%), uronefrose (5,96%) e 2,77% por contaminação. Nos pulmões as lesões mais encontradas foram enfisema com 30,65%, seguido de aspiração de sangue (26,08%), aspiração de conteúdo ruminal (18,01%), contaminação (14,78%), congestão (8,14%) e bronquite (1,34%).No fígado as lesões foram telangiectasia com 35,17%, abscesso (20,69%), contaminação (17,93%), congestão (8,28%), perihepatite (5,52%), hidatidose (4,83%), esteatose (4,14%) e cirrose (2,86%).A cabeça teve como causas de condenações à contaminação por conteúdo ruminal (15,28%), cisticercose com 5,91%, sendo de 5,91%, 58,33% causada pela forma calcificada e 41,67% pela"
Conclusão," Os principais órgãos condenados observados nas duas regiões foram por ordem decrescente: o rim responsável por 35,36%, seguida pelo pulmão com 28,00%, fígado (10,91%), cabeça (15,28%), coração (4,29%) e cauda com 1,35% ..Dentro das condenações do rim, as lesões que mais ocorreram foram nefrite (34,04%), Isquemia (20,85%), congestão venosa (20,21%), cisto urinário (16,17%), uronefrose (5,96%) e 2,77% por contaminação. Nos pulmões as lesões mais encontradas foram enfisema com 30,65%, seguido de aspiração de sangue (26,08%), aspiração de conteúdo ruminal (18,01%), contaminação (14,78%), congestão (8,14%) e bronquite (1,34%).No fígado as lesões foram telangiectasia com 35,17%, abscesso (20,69%), contaminação (17,93%), congestão (8,28%), perihepatite (5,52%), hidatidose (4,83%), esteatose (4,14%) e cirrose (2,86%).A cabeça teve como causas de condenações à contaminação por conteúdo ruminal (15,28%), cisticercose com 5,91%, sendo de 5,91%, 58,33% causada pela forma calcificada e 41,67% pela"
Palavras-Chave," Condenação, Ruminantes, Inspeção de carnes, Bovino "
Colaboradores, Igor de Oliveira Poty
Produção e caracterização de nanopartículas de ácido poliláctico (PLA) contendo fármacos aplicados ao combate do câncer,TituloTrabalho
Bolsista, João Bosco Ferreira da Conceição
Unidade Acadêmica, Farmácia 
Instituição, UnB
Orientador (a), ANDERSON DE JESUS GOMES
Introdução," Nanopartículas como sistema de liberação de fármacos podem ser consideradas medicamentos de alto desempenho terapêutico, pois promovem seletividade e diminuição de toxicidade devido a sua capacidade em carrear fármacos para os tecidos afetados. O tamoxifeno é um fármaco antiestrógeno utilizado no tratamento do câncer de mama. Possui baixa biodisponibilidade quando administrado por via oral devido a sua lipossolubilidade. Este viés tem sido superado por meio do uso do citrato de tamoxifeno. Mas, ainda assim, a biodisponibilidade do fármaco é baixa, o que exige doses elevadas, que aumentam os ricos de toxicidade e efeitos colaterais graves [1]. A utilização de nanopartículas como sistema de liberação pode ser visto como uma saída para otimizar a terapia oral com tamoxifeno, pois promoveria aumento da sua biodisponibilidade e redução de efeitos colaterais. O objetivo deste trabalho é produzir e caracterizar nanopartículas de PLA que funcionem como sistema de liberação para o tamoxifeno."
Metodologia," As nanopartículas PLA:Tmx foram produzidas através do método da emulsão e evaporação do solvente [2]. Uma solução contendo o polímero (poli  ácido lático) e o fármaco (tamoxifeno) em diclorometano é adicionada a uma solução aquosa, contendo PVA. Essa adição é realizada sob agitação vigorosa, utilizando-se um homogenizador. O diclorometano é eliminado da solução, através de agitação magnética à temperatura ambiente. Após a evaporação do diclorometano, uma alíquota da solução é recolhida para a análise morfológica das partículas. O volume restante é centrifugado a 14.000 rpm por dez minutos e as partículas resultantes são lavadas com água destilada por pelo menos cinco vezes. Durante o processo de lavagem, uma alíquota de 20 µL das nanopartículas ressuspensas é colhida para análise do diâmetro, índice de polidispersão e potencial zeta. Após o processo de lavagem, as mesmas são submetidas à secagem, avaliação da eficiência de encapsulamento e, finalmente, armazenadas sob refrigeração."
Resultados," Foram obtidas NP-PLA:Tmx com um diâmetro médio (nm) de 572,8 ± 4,6, índice de polidispersão (PdI) igual a 0,246 ± 0,010 e potencial zeta de 20,5 mV ± 0,2 mV. A taxa de associação do fármaco à nanopartícula, determinada com auxílio de uma curva analítica (Abs"
"= 0,04588[Tmx]  0,09247, r = 0,9960), foi de 61,5%. A presença do fármaco na solução não afetou o diâmetro das partículas. Avaliaram-se também como variações em relação à velocidade de homogeneização e concentração de surfactante, polímero e fármaco podem afetar os parâmetros avaliados. O menor diâmetro foi obtido com PVA 2% (238,60 nm) e velocidade de homogeneização igual a 20000 rpm (424,7 nm). O melhor potencial zeta foi obtido com PVA 1,5% (-21,94 mV) e velocidade de homogeneização igual a 5000 rpm (-32,6 mV). O PdI mais próximo do ideal foi obtido com PVA 3% (0,258) e velocidade de homogeneização de 20000 rpm (0,304), a taxa de associação do fármaco foi pouco influenciada pela variação na velocidade de homogeneização.",TituloTrabalho
Conclusão," Foram obtidas NP-PLA:Tmx com um diâmetro médio (nm) de 572,8 ± 4,6, índice de polidispersão (PdI) igual a 0,246 ± 0,010 e potencial zeta de 20,5 mV ± 0,2 mV. A taxa de associação do fármaco à nanopartícula, determinada com auxílio de uma curva analítica (Abs"
"= 0,04588[Tmx]  0,09247, r = 0,9960), foi de 61,5%. A presença do fármaco na solução não afetou o diâmetro das partículas. Avaliaram-se também como variações em relação à velocidade de homogeneização e concentração de surfactante, polímero e fármaco podem afetar os parâmetros avaliados. O menor diâmetro foi obtido com PVA 2% (238,60 nm) e velocidade de homogeneização igual a 20000 rpm (424,7 nm). O melhor potencial zeta foi obtido com PVA 1,5% (-21,94 mV) e velocidade de homogeneização igual a 5000 rpm (-32,6 mV). O PdI mais próximo do ideal foi obtido com PVA 3% (0,258) e velocidade de homogeneização de 20000 rpm (0,304), a taxa de associação do fármaco foi pouco influenciada pela variação na velocidade de homogeneização.",TituloTrabalho
Palavras-Chave," Nanopartículas, PLA, Tamoxifeno, Variações, sistemas de liberação controlada "
Colaboradores,
Modelagem da Mama para o Ambiente de Simulação Médica,TituloTrabalho
Bolsista, João Gabriel Machado de Lima
Unidade Acadêmica, Engenharia 
Instituição, UnB
Orientador (a), LOURDES MATTOS BRASIL
Introdução," Com o crescente aumento da população idosa na era da tecnologia, o número de idosos que utilizam computadores também tem aumentado. Com isso, estudam-se as possibilidades da inserção do computador em programas de reabilitação/estimulação cognitiva com jogos computacionais. O jogo é apontado no âmbito da prática clínica do profisional, como importante ferramenta para desenvolver a criatividade, a imaginação, as estratégias para a resolução de problemas e também como revelador e/ou desencadeador de conceitos, dentre outras. Nesta perspectiva, foi desenvolvido um software, o ProDC, e seu módulo principal, o Neurosoft. Este é composto por 9 jogos graduados em níveis de dificuldade e há a possibilidade de acompanhar a evolução do sujeito durante o treinamento. O objetivo deste trabalho é apresentar os jogos do Neurosoft, revelando os seus benefícios para a vida cotidiana do sujeito. Além de testá-lo no contexto da prática clínica de profissionais de saúde para verificar os reais ganhos da p"
Metodologia," Os terapeutas inicialmente selecionaram e adaptaram os jogos para estimular as funções cognitivas. Para isso, tomou-se por base a análise da atividade largamente utilizada por Terapeutas Ocupacionais. A partir da análise das funções cognitivas que seriam trabalhadas em cada jogo, foi defino os jogos que seriam criados. A engine escolhida para a produção dos jogos foi o Game Maker (GM), uma ferramenta que supri os requesitos básicos para a produção de jogos. Mas, o GM não possibilita a edição de imagens de forma a deixar a interface gráfica nítida e clara, o suficiente para idosos. Então, utilizou-se ferramentas de manipulação de imagens como o GIMP. Esse é um estudo experimental, com idosos com 60 anos ou mais, de ambos os sexos, com déficit cognitivo leve. Foram realizadas análises descritivas dos resultados e utilizado o teste t-student para validar o estudo, excluindo a hipótese dos jogos não serem efetivos, caso os valores p do teste fossem superiores a 1,8."
Resultados," Para colocar a disposição do profissional que trabalha com estimulação cognitiva um sistema abrangente, foram criados 9 jogos: Palavras Cruzadas, Velho, Qual é o Objeto, Palavra Certa, Roteiro de Passeio, Encontrando a Figura Perdida, Na Sequência Certa, Jogo das Relações e Qual é o Erro. Esses jogos foram testados com idosos com déficit cognitivo. O teste aconteceu em 10 encontros, de uma hora cada. Participaram do estudo 9 idosos, idade média de 70,75 ± 8,447 anos, escolaridade média de 10,125 ± 4,0861 anos de estudo. A frequência de participação dos idosos foi de 100%. Com a análise estatística dos testes pré e pós intervenção, foram obtidos os respectivos valores de corte para o teste t: 0,476 para o teste do Relógio, 0,732 para o Teste de reconhecimento de 10 figuras, 0,938 para o Teste de fluência semântica, e 0,921 para o teste MEEM. De acordo com o teste t, todos os valores foram inferiores ao nível de corte tabelado de 1,8, adotando-se um confiança de 95%."
Conclusão," Para colocar a disposição do profissional que trabalha com estimulação cognitiva um sistema abrangente, foram criados 9 jogos: Palavras Cruzadas, Velho, Qual é o Objeto, Palavra Certa, Roteiro de Passeio, Encontrando a Figura Perdida, Na Sequência Certa, Jogo das Relações e Qual é o Erro. Esses jogos foram testados com idosos com déficit cognitivo. O teste aconteceu em 10 encontros, de uma hora cada. Participaram do estudo 9 idosos, idade média de 70,75 ± 8,447 anos, escolaridade média de 10,125 ± 4,0861 anos de estudo. A frequência de participação dos idosos foi de 100%. Com a análise estatística dos testes pré e pós intervenção, foram obtidos os respectivos valores de corte para o teste t: 0,476 para o teste do Relógio, 0,732 para o Teste de reconhecimento de 10 figuras, 0,938 para o Teste de fluência semântica, e 0,921 para o teste MEEM. De acordo com o teste t, todos os valores foram inferiores ao nível de corte tabelado de 1,8, adotando-se um confiança de 95%."
Palavras-Chave," Deficit Cognitivo, ProDC, Jogos, Validação e Testes."
Colaboradores," Profa. Dra. Kátia Vanessa Pinto de Meneses, Profa. Dra. Rita de Cássia Silva, Profa. Ms. Patrícia Azevedo Garcia, Aluna Lídia Isabel Barros dos Santos, Aluno Marcos Calixto Ferreira."
Efeito da administração do todo-trans-ácido retinóico na disponibilidade e acúmulo tecidual de ferro em ratos.,TituloTrabalho
Bolsista, Joao Gabriel Marques de Brito e Silva
Unidade Acadêmica, Nutrição 
Instituição, UnB
Orientador (a), SANDRA FERNANDES ARRUDA
Introdução," A vitamina A é uma vitamina lipossolúvel essencial a diversos processos fisiológicos, encontrada na dieta na forma de éster de retinil ou de precursores, os carotenoides, sendo armazenada esterificada no fígado e tecido adiposo. No organismo, a vitamina A transforma- se em diversos metabólitos, os retinoides, com estrutura semelhante à do retinol. O todo-trans e 9-cis ácido retinoico são as formas mais ativas da vitamina A, com atividade de regulação em vários processos celulares. A deficiência de vitamina A tem sido associada à anemia e ao acúmulo de ferro nos tecidos, porém, o mecanismo de interação entre os metabolismos, assim como a(s) forma(s) de vitamina A envolvida(s) nessa sinalização, ainda é pouco conhecido. O objetivo do projeto foi investigar o efeito do todo-trans ácido retinoico, como forma única de vitamina A na dieta, sobre a disponibilidade e níveis teciduais de ferro em ratos, comparado a ratos que receberam dieta com éster de retinil ou isenta de vitamina A."
Metodologia," Dezoito ratos Wistar, machos (21 dias de idade), foram divididos em três grupos (6 ratos/grupo) e tratados com uma das seguintes dietas: dieta AIN-93G (controle), dieta AIN-93G isenta de vitamina A (-VA), e dieta AIN-93G isenta de vitamina A + 12 mg de todo-trans ácido retinoico/kg de dieta (atRA). Após 59 dias, os animais foram sacrificados e fígado, baço, coração e intestino foram retirados e armazenados a -70 °C. A concentração de retinol hepático foi determinada por cromatografia líquida de alta eficiência (HPLC), utilizando coluna C18 e fase móvel metanol/água (95:5). A concentração de ferro nos tecidos foi determinada por espectrometria de emissão atômica (ICP-AES), linha 238 nm, utilizando curva de calibração com Fe (Titrisol-Merck), no intervalo de 0 a 10 ppm. A comparação entre os grupos foi realizada pelo teste T variáveis independentes, p < 0,05. Este estudo foi aprovado pelo Comitê de Ética no Uso Animal do Instituto de Ciências Biológicas/UnB, UnBDoc n° 52606/2011."
Resultados," Os grupos atRA e -VA apresentaram menor ganho de peso, consumo de dieta e de Fe quando comparados ao grupo CT (p = 0,029, 0,026, 0,000 e p = 0,020, 0,008, 0,000, respectivamente). Em relação à concentração de retinol hepático, os grupos atRA e -VA apresentaram valores abaixo do limite de detecção do método utilizado, comparados ao grupo CT. No fígado, a concentração de Fe no grupo atRA foi maior em relação ao grupo CT (p = 0,046), não havendo diferença entre os grupos -VA e CT (p = 0,593). A deficiência de vitamina A (-VA) promoveu aumento na concentração de Fe no baço (p = 0,005), enquanto a administração de atRA reduziu esses níveis (p = 0,033), comparadas ao grupo CT. O grupo atRA apresentou menor concentração de Fe no intestino em relação ao grupo CT (p = 0,002), não sendo observada diferença entre os grupos -VA e CT (p = 0,406). No coração, não foram verificadas diferenças significativas no teor de Fe entre os grupos."
Conclusão," Os grupos atRA e -VA apresentaram menor ganho de peso, consumo de dieta e de Fe quando comparados ao grupo CT (p = 0,029, 0,026, 0,000 e p = 0,020, 0,008, 0,000, respectivamente). Em relação à concentração de retinol hepático, os grupos atRA e -VA apresentaram valores abaixo do limite de detecção do método utilizado, comparados ao grupo CT. No fígado, a concentração de Fe no grupo atRA foi maior em relação ao grupo CT (p = 0,046), não havendo diferença entre os grupos -VA e CT (p = 0,593). A deficiência de vitamina A (-VA) promoveu aumento na concentração de Fe no baço (p = 0,005), enquanto a administração de atRA reduziu esses níveis (p = 0,033), comparadas ao grupo CT. O grupo atRA apresentou menor concentração de Fe no intestino em relação ao grupo CT (p = 0,002), não sendo observada diferença entre os grupos -VA e CT (p = 0,406). No coração, não foram verificadas diferenças significativas no teor de Fe entre os grupos."
Palavras-Chave," todo-trans ácido retinoico, ferro, deficiência de vitamina A, ratos."
Colaboradores," Egle Machado de Almeida Siqueira (co-orientadora), Adriana Medeiros Fustinoni, Juliana Forssard Ribeiro Mendes, Marcela de Sá Barreto da Cunha."
Os mecanismos de privilégio ao endividamento público no Brasil e seus impactos sobre as políticas de educação,TituloTrabalho
Bolsista, Joao Gabriel Pimentel Lopes
Unidade Acadêmica, Direito 
Instituição, UnB
Orientador (a), ALEXANDRE BERNARDINO COSTA
